MSOA_code,Burglary,Criminal Damage,Drugs,Other Notifiable Offences,Robbery,Theft and Handling,Violence Against the Person,MSOA_name,Total_yearly_income_2018,pc_change_inc,Total_crime
E02000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of London 001,65400,18.995633187772924,0.0
E02000002,1.080572458018988,1.3208198248885334,0.48566132202349366,0.8044207323467006,0.8832002980771215,0.7644811177240521,1.2843676627982143,Barking and Dagenham 001,39000,39.13663931501962,618.0
E02000003,1.317000109753949,1.4064337852582163,0.7398233925461158,0.7690439973771994,1.0417416273251192,0.7944139599505763,1.0867156613523419,Barking and Dagenham 002,47800,44.149577804583835,905.0
E02000004,1.295041001659511,1.1175927907866625,2.1222577675909857,0.553907534919511,0.8984086091101031,0.6580074244477218,1.1715512953871028,Barking and Dagenham 003,43700,29.175288205734557,359.0
E02000005,1.106138854083035,1.296335418069182,0.5594731521259831,0.5621848284542532,1.4028214456901262,0.709321096077495,1.2874014915043717,Barking and Dagenham 004,44900,50.469168900804284,619.0
E02000007,0.8252352902395437,1.0038608704432104,1.279259719346641,0.7214316805399567,1.1128450865433244,0.7113568275942662,1.3850740551371634,Barking and Dagenham 006,38000,38.38310269482884,758.0
E02000008,0.9714907074536211,1.4620901449183685,0.6404748132528097,1.5104407251751657,1.409280936778037,0.5596615614720694,1.4119682689371562,Barking and Dagenham 007,40900,48.188405797101446,757.0
E02000009,0.8177108402255945,1.338334026243295,1.172525837079509,1.3825920543622738,1.049995737463347,0.639586260811824,1.3804027268674084,Barking and Dagenham 008,42300,48.47314847314848,827.0
E02000010,0.947864401582274,1.7039464627783718,1.0185702387234812,1.005230172517072,0.6840964875647491,0.6843945108620955,1.2846874754632538,Barking and Dagenham 009,40000,43.112701252236135,544.0
E02000011,0.7032029790640207,1.007055764028046,1.280421051104734,2.240109588794937,0.8169637545313976,0.6007522007734691,1.5071656824525574,Barking and Dagenham 010,45000,42.540386442825465,577.0
E02000012,1.4759356177643317,0.8584505105923127,1.6324560054962187,1.219515759600929,1.5036302595362565,0.8521813325278936,0.8715739649274511,Barking and Dagenham 011,46700,29.219701162147203,693.0
E02000013,1.1766200029729639,1.4189772303887243,0.6765594748053403,1.0925978298687058,1.2268631513249124,0.7430223190301735,1.164146216142526,Barking and Dagenham 012,39400,41.06695309702829,546.0
E02000014,0.8760142346695642,1.0642329227915432,0.8386518489774532,1.22158507367265,1.5903781591248864,0.8284542101422926,1.175729760581755,Barking and Dagenham 013,39900,42.75491949910555,936.0
E02000015,0.8504316633928034,1.090032508798611,1.4272329648052655,0.9038763865277473,1.383339838773356,0.7718539790965686,1.2150927506852445,Barking and Dagenham 014,36400,36.99661272111403,825.0
E02000016,0.35168856270920995,0.9250761661709551,1.7953204339791784,0.9356620345928638,1.7940788980796643,1.0682684008250694,0.9695237365785093,Barking and Dagenham 015,48600,71.18703768932723,2019.0
E02000017,1.1572677002924876,1.276446035372,1.2368352898785127,0.9617137148323502,1.144504282370231,0.7106914428065504,1.1858653619660804,Barking and Dagenham 016,49900,55.84009993753904,672.0
E02000018,1.0498010838808278,1.4676226335003688,1.0453631600525592,1.3505526862089887,1.1554416224638246,0.8437069717882045,1.0186476071739683,Barking and Dagenham 017,39500,42.59927797833935,773.0
E02000019,0.710127654148849,1.0642329227915432,0.39725613898931983,0.9560231011351175,0.8788931932005952,1.0967128233253491,1.0754406521473765,Barking and Dagenham 018,42200,44.61960246744346,988.0
E02000020,1.0959196094119763,1.213367564974915,1.0344297689737036,1.137384966841398,0.7568320086131014,0.8224342807495958,1.151574371200617,Barking and Dagenham 019,42500,48.91380518570428,1049.0
E02000021,0.9135179190380492,1.3954639189341562,0.9980227122939008,1.146125677441524,0.9294774947277434,0.7658580649822007,1.2302925945469423,Barking and Dagenham 020,42300,42.71255060728745,694.0
E02000022,0.6430568346890665,1.1373581297563609,2.549550045393744,0.7929713084261834,0.7305982610752854,0.9388496970160866,1.0127144686237939,Barking and Dagenham 021,44200,78.2258064516129,815.0
E02000023,1.082096828193866,1.1251378189753967,0.8344912799180326,0.8984313480546886,0.7846504291104108,0.7579235596817623,1.295403126324393,Barking and Dagenham 022,42300,56.60866345797852,664.0
E02000024,1.3352383419297336,1.0254394991174896,0.33663560745174587,0.7852632033625022,0.39189391332992346,1.1637144089164917,0.8491737383378007,Barnet 001,60200,53.453989293907725,823.0
E02000025,1.258216126979199,1.0731573078883279,0.38721328432255325,0.729543833989901,0.46811130721411753,0.9904598129003442,1.0673616954663254,Barnet 002,55400,58.24050271351042,477.0
E02000026,2.4356348946465323,0.844171199773631,0.3913151199615633,0.6740773052071336,0.0,0.818169437929728,0.9540521330167789,Barnet 003,54900,49.306499864019585,295.0
E02000027,1.6841397017749742,1.3251942525182052,0.8403529683465757,0.8571241596383811,0.4277568841784178,0.7132387239635631,1.1267992711401837,Barnet 004,50100,64.47800393959291,522.0
E02000028,1.3599601777679375,0.8292288073486157,0.5098206452496078,1.097767851145687,0.5478526655408127,1.0448834807844756,0.9676461838966124,Barnet 005,61700,67.11809317443121,317.0
E02000029,1.2396100877039247,0.9712578156521884,0.5042531811049162,0.6204455695354272,0.6579848483618096,1.0014272255338639,1.0508136124754035,Barnet 006,55500,64.44444444444444,641.0
E02000030,1.739384964921217,1.0110212766519662,0.26639529320460276,1.147227721362141,0.2862680686424796,0.6912929170723765,1.283167135255605,Barnet 007,58000,41.913383900171276,520.0
E02000031,1.5839115424636052,0.8186407098396487,0.6830648543707762,1.4708047709771037,0.44041241329612246,1.134429402375182,0.7422378859906039,Barnet 008,58400,49.93581514762516,507.0
E02000032,2.792978645099489,0.7686126664605589,0.3375378958732783,0.7268011879974576,0.797979216683715,0.9459797812569363,0.5825303532464956,Barnet 009,59600,56.75960021041557,342.0
E02000033,1.0670094291372896,1.086622114715629,0.8419037784306286,0.7669638342907253,0.4871508975496146,1.0335459321166247,1.015664022029855,Barnet 010,51100,56.98924731182796,713.0
E02000034,1.6277276834862655,1.4228584591370523,0.25259947568634833,1.0878162201099804,0.488597578864626,0.9663838465606964,0.8718835046402692,Barnet 011,52200,53.574580759046775,457.0
E02000035,1.7898115364772014,1.0940966017474285,0.2944845928282173,1.2681939096690333,0.8227772721186914,0.8122187917789148,1.0164560245423548,Barnet 012,54500,50.552486187845304,392.0
E02000036,1.2030609019161764,0.9499707113557471,0.6052926761952272,1.1171505900904743,0.3097365703164573,1.2181155735108045,0.8014337693853162,Barnet 013,53800,62.636033857315596,801.0
E02000037,1.7641222561736518,1.2331220605388968,0.25095208780143735,0.6484330599003405,0.4854110729155089,0.8651895825471048,1.0174381076578545,Barnet 014,56300,54.79791036568601,460.0
E02000038,1.394712040137289,1.2647405749116891,0.5405121891107881,0.8867460648209784,1.4382550308607671,0.884511434266519,0.9483397469160183,Barnet 015,54300,54.13000283848992,897.0
